COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
153,1570077445,CTY LN COLBY MILD,10 OZ,12,5390551
153,1570077446,CTY LN CHEDDAR MILD,10 OZ,12,5390571
153,1570077454,CTY LN CHEDDAR MED/S,8 OZ,12,5390591
153,1570077455,CTY LN CHEDDAR SHARP,8 OZ,12,5390511
153,1570077456,CTY LN SWISS OLD WOR,10 OZ,12,5390531
153,1570077458,COUNTY LINE/COLBY JA,10 OZ,12,5390621
153,1570077501,CTY LN MONTEREY JACK,10 OZ,12,5390491
153,1570077503,~COUNTY LINE MUENSTE,8 OZ,12,5390441
153,1570077507,~COUNTY LINE MOZZ CH,8 OZ,12,5390421
153,1570077508,COUNTY LINE EXTRA SH,8 OZ,12,5390401
153,1700310035,KAUKAUNA RANCH BALLS,10 OZ,12,9835471
153,1700310039,KAUKAUNA GARDEN VEGT,10 OZ,12,9835461
153,1700310062,KAUKAUNA SHARP CHEES,10 OZ,12,9835491
153,1700310067,KAUKAUNA SHARP CHED,10 OZ,12,9835491
153,1700310068,KAUKAUNA PORT WINE C,10 OZ,12,9835481
156,1700310074,KAUK CHEDDAR CHEESE,7 OZ,12,9835501
156,1700310077,KAUK PORT WINE CHEES,7 OZ,1,9835511
156,1700310081,KAUKAUNA SHARP LITE,8 OZ,12,5394051
153,1700310084,KAUKAUNA PORTWINE CH,12 OZ,12,9835511
153,1700310087,KAUKAUNA SHARP BALLS,12 OZ,12,9835501
156,1700310091,KAUKAUNA SHARP CHEDD,8 OZ,12,5394031
156,1700310104,KAUKAUNA GARDEN VEG,8 OZ,12,5349071
156,1707720116,LIFEWAY'S FARMER'S C,16 OZ,18,5070300
156,1707730108,"LIFEWAY'S ""SWEET KIS",8 OZ,42,5070350
153,2070068305,BLACK DIAMOND CHEDDA,8 OZ,12,5365750
157,2100000001,KR PHILADELPHIA CR C,3 OZ,24,5351501
157,2100000002,KR PIMENTO PHILLY CC,3 OZ,6,5343501
157,2100000003,KR PHILLY CHIVE CRM,3 OZ,6,5343001
152,2100000010,~KR GRTD PARM JAR,3 OZ,12,5307501
157,2100000014,KR SOFT PHILLY CREAM,8 OZ,12,5352041
155,2100000016,KR CHEEZ N CRACKERS,1.1OZ,100,5314001
155,2100000017,KR PEANUT BUTTER N C,1.1OZ,100,5314191
157,2100000028,KR LIGHT SOFT PHILLY,8 OZ,12,5352201
157,2100000053,KR HEALTHY FAV SOFT,8 OZ,12,5362181
153,2100000059,~KR HLTHY FAV RED FA,16 OZ,12,5384751
155,2100000065,CHEEZ N CRACKER SHIP,5 CT,96,9802261
153,2100000088,CHEDAR MONT.JACK CHU,8OZ.,12,5387981
153,2100000090,KR CHEDDAR STRG CHSE,1 OZ,48,5373501
157,2100000154,KR FREE SOFT PHILLY,8 OZ,12,5352051
155,2100000156,KRAFT NACHO CHEEZ N,1 CT,100,5314161
153,2100000190,KRAFT COLBY CHUNK,8 OZ,12,5388031
153,2100000192,KR MED CHEDDAR,8 OZ,12,5387641
153,2100000194,KR MILD CHEDDAR,8 OZ,12,5387621
153,2100000196,KR CASINO MONT W JAL,8 OZ,12,5373531
153,2100000198,KR NEW YORK EX-SHRP,8 OZ,12,5387521
153,2100000201,KR SHARP CHEDDAR,8 OZ,12,5387661
153,2100000204,~KR COLBY/MONT JK HF,10 OZ,12,5387701
153,2100000220,KRAFT COLBY 1/3 LESS,8 OZ,12,5388051
153,2100000221,KR KLN MONTEREY JACK,8 OZ,12,5388101
153,2100000223,KR KLN SHARP CHUNK,8 OZ,12,5388041
153,2100000229,KRAFT LT NATURAL MIL,8 OZ,12,5388081
153,2100000288,~KRAFT COLBY JACK CH,14 OZ,12,5388091
153,2100000289,~KRAFT MILD CHEDDAR,14 OZ,12,5388061
153,2100000290,~KRAFT COLBY CHUNK,14 OZ,12,5388071
153,2100000291,KRAFT COLBY JACK CHU,8 OZ,12,5388001
153,2100000306,KRAFT MONTEREY JACK,8 OZ,12,5388011
153,2100000326,WHITE/MILD CHEDDAR C,8OZ.,12,5387991
157,2100030028,TEMPTEE CREAM CHEESE,8 OZ,12,5600300
155,2100060005,~KRAFT AM SLICES-5LB,80 OZ,4,5362431
155,2100060093,KRAFT STACK PACK 108,48 OZ,8,5362411
155,2100060251,KR DELUXE SLICE REG,8 OZ,12,5362661
155,2100060256,KR OLD ENGLISH SLICE,8 OZ,12,5358001
155,2100060260,KR DELUXE SLICE REG,12 OZ,12,5362681
155,2100060266,KR DELUXE TW PK AMER,24 OZ,12,5359651
155,2100060269,KR DELUXE SLICE REG,16 OZ,12,5362711
155,2100060311,~KRAFT AM SLICES-5LB,80 OZ,4,5362431
155,2100060441,KRAFT SUPER SLICE PI,12 OZ,12,5399061
155,2100060445,KRAFT SUPER SLICE AM,12 OZ,12,5399041
155,2100060448,KR EX-THK AMER SINGL,12 OZ,12,5362521
155,2100060459,KR AMERICAN SINGLES,6 OZ,12,5359601
155,2100060464,KR AMERICAN SINGLES,12 OZ,48,5362501
155,2100060465,KRAFT WHITE AMERICAN,12 OZ,12,5362521
155,2100060469,KR SWISS SINGLES,12 OZ,12,5362701
155,2100060471,~KR AMER SINGLES TWI,24 OZ,12,5362401
155,2100060491,KR AMERICAN SINGLES,3 LB,6,5359701
153,2100060838,KRAFT RESEALABLE MIL,16 OZ,12,5388211
153,2100060839,~KRAFT RESEALABLE MO,16 OZ,12,5388221
153,2100060840,KRAFT RESEALABLE SHA,16 OZ,12,5388201
155,2100061037,KR HANDISNACK BREADS,8 CT,12,5314211
155,2100061068,KR HANDISNACKS CHZ N,8 CT,72,9853021
154,2100061125,VELVEETA ORIGINAL SH,8 OZ,12,5399001
154,2100061126,KRAFT SHRD MLD VELVE,8 OZ,12,5397921
155,2100061143,~KRAFT VELVEETA ITAL,16 OZ,12,5301571
155,2100061144,KR VELVEETA SLICES,12 OZ,12,5362591
155,2100061146,KR VELVEETA SLICES,16 OZ,12,5362601
155,2100061148,KR EXTRA THICK VELVE,12 OZ,12,5362621
155,2100061160,VELVEETA LIGHT LOAF,8 OZ,72,9801541
155,2100061161,KR VELVEETA LOAF,32 OZ,12,5301501
155,2100061166,KR LIGHT VELVEETA LO,32 OZ,12,5301541
155,2100061168,~KR LIGHT VELVEETA L,16 OZ,12,5301521
157,2100061209,PHILLY FREE SOFT STR,8 OZ,12,5345291
157,2100061210,KR FREE SOFT PHILLY,12 OZ,12,5352081
157,2100061215,KRAFT SOFT PHILLY,16 OZ,12,5352021
157,2100061216,PHILLY FREE SOFT GAR,8 OZ,12,5345321
157,2100061218,KR LIGHT SOFT PHILLY,12 OZ,12,5352221
